D2,07/11/04,Oberhausen,Essen,1,1,D,0,0,D,2,3.2,3.2,1.85,3.3,3.7,1.85,3.3,3.9,1.85,3.1,3.6,,,,1.8,3.4,4,2.05,3.1,3.2,1.71,2,1.85,1.79,-0.5
D2,07/11/04,Saarbrucken,TSV Munich 1860,4,1,H,2,1,H,2.4,3.25,2.5,2.65,3.25,2.35,2.5,3.15,2.6,2.5,3,2.5,,,,2.6,3.1,2.6,2.35,3.2,2.6,1.79,1.9,2.5,1.42,-0.5
D2,08/11/04,Duisburg,Aachen,1,0,H,1,0,H,1.9,3.2,3.5,2,3.25,3.3,2,3.2,3.5,2.1,2.9,3.2,2,3.2,3.2,2.1,3,3.5,2,3.1,3.3,1.71,2,2,1.67,-0.5
D2,12/11/04,Erfurt,Burghausen,1,0,H,0,0,D,2.5,3.1,2.5,2.5,3.2,2.5,2.45,3.2,2.62,2.4,2.9,2.7,2.38,3.2,2.6,2.4,3.1,2.8,2.35,3.05,2.7,1.9,1.79,2.45,1.44,-0.5
D2,12/11/04,SpVgg Greuther Fürth,Saarbrucken,2,0,H,1,0,H,1.61,3.5,4.5,1.55,3.7,5.1,1.62,3.5,5,1.65,3.3,4.4,1.62,3.25,5,1.6,3.75,5,1.6,3.3,5,1.75,1.95,1.62,2.06,-0.5
D2,12/11/04,TSV Munich 1860,Oberhausen,5,1,H,3,0,H,1.57,3.5,5,1.55,3.7,5.1,1.57,3.65,5.2,1.65,3.3,4.4,1.53,3.5,5.5,1.53,3.75,5.5,1.5,3.6,5.5,1.71,2,1.57,2.14,-0.5
D2,14/11/04,Aachen,Essen,1,1,D,1,0,H,1.53,3.4,5.5,1.45,3.8,6.2,1.5,3.75,6,1.45,3.8,5.4,,,,1.44,4,6.5,1.5,3.5,5.8,1.6,2.15,2.11,1.44,-1.5
D2,14/11/04,Ahlen,Dresden,2,0,H,1,0,H,1.83,3.2,3.75,1.65,3.5,4.5,1.75,3.35,4.3,1.75,3.2,4,,,,1.85,3.4,3.8,1.8,3.2,3.9,1.71,2,1.75,1.88,-0.5
D2,14/11/04,Duisburg,Energie Cottbus,2,0,H,1,0,H,1.72,3.4,4,1.7,3.4,4.35,1.7,3.4,4.5,1.75,3.2,4,,,,1.7,3.6,4.33,1.75,3.3,4,1.79,1.9,1.7,1.94,-0.5
D2,14/11/04,Ein Trier,Eintracht Frankfurt,2,2,D,1,2,A,2.1,3.2,3,2.25,3.2,2.8,2.2,3.2,3,2.2,2.9,3,,,,2.2,3.2,3.1,2.15,3.1,3,1.71,2,2.2,1.55,-0.5
D2,14/11/04,Erzgebirge Aue,Karlsruhe,1,0,H,0,0,D,2,3.2,3.2,2,3.25,3.3,2.05,3.25,3.25,2,3,3.3,,,,2,3.3,3.4,2.05,3.2,3.1,1.71,2,2.05,1.63,-0.5
D2,15/11/04,Unterhaching,FC Cologne,1,3,A,1,0,H,2.75,3.2,2.25,2.9,3.2,2.2,2.8,3.2,2.3,2.7,2.9,2.4,2.75,3.2,2.25,2.9,3,2.38,2.75,3.2,2.25,1.65,2.05,1.49,2.3,0.5
D2,19/11/04,Eintracht Frankfurt,Erfurt,2,1,H,2,0,H,1.53,3.4,5.5,1.5,3.7,5.8,1.57,3.65,5.2,1.55,3.5,4.8,1.57,3.5,5,1.53,3.75,5.5,1.55,3.5,5.2,1.65,2.05,1.57,2.14,-0.5
D2,19/11/04,FC Cologne,Erzgebirge Aue,1,0,H,0,0,D,1.4,3.75,7,1.35,4.35,7.1,1.45,3.85,6.5,1.45,3.8,5.4,1.4,3.75,7,1.44,4,6.5,1.4,3.6,7.5,1.6,2.15,2.03,1.48,-1.5
D2,19/11/04,Oberhausen,SpVgg Greuther Fürth,1,0,H,0,0,D,2.87,3,2.25,3,3.2,2.15,3,3.2,2.2,2.9,3,2.2,2.8,3.2,2.2,3.25,3.2,2.1,2.85,3.15,2.2,1.75,1.95,1.55,2.2,0.5
D2,19/11/04,Saarbrucken,Ahlen,0,0,D,0,0,D,2,3.2,3.2,1.9,3.25,3.6,2,3.15,3.5,1.9,3.1,3.5,1.91,3.2,3.5,2,3.3,3.4,1.95,3.1,3.5,1.65,2.05,2,1.66,-0.5
D2,21/11/04,Burghausen,Duisburg,0,0,D,0,0,D,2.5,3,2.6,2.4,3.2,2.6,2.5,3.2,2.55,2.4,2.9,2.7,,,,2.6,3.1,2.6,2.55,3.1,2.45,1.85,1.85,2.5,1.42,-0.5
D2,21/11/04,Dresden,Unterhaching,1,0,H,1,0,H,2.2,3,3,2.2,3.2,2.9,2.2,3.2,3,2.2,2.9,3,,,,2.1,3.2,3.25,2.05,3.15,3.15,1.75,1.95,2.2,1.55,-0.5
D2,21/11/04,Karlsruhe,Ein Trier,1,0,H,1,0,H,2.1,3.2,3,2.1,3.2,3.1,2.2,3.2,3,2.2,2.9,3,,,,2.1,3.2,3.25,2.15,3,3.1,1.71,2,2.2,1.55,-0.5
D2,22/11/04,Energie Cottbus,Aachen,1,2,A,1,2,A,2.25,3,2.87,2.25,3.2,2.8,2.3,3.1,2.9,2.2,2.9,3,2.25,3.2,2.75,2.3,3,3.1,2.25,3.1,2.8,1.85,1.85,2.3,1.5,-0.5
D2,24/11/04,Essen,TSV Munich 1860,0,0,D,0,0,D,2.5,3.2,2.4,2.65,3.25,2.35,2.6,3.25,2.45,2.4,2.9,2.7,,,,2.8,3.1,2.4,2.55,3.1,2.45,1.71,2,1.44,2.45,0.5
D2,26/11/04,Ahlen,Oberhausen,0,1,A,0,1,A,1.61,3.5,4.5,1.65,3.5,4.5,1.65,3.45,4.85,1.7,3.2,4.2,1.67,3.25,4.5,1.67,3.6,4.5,1.7,3.3,4.3,1.75,1.95,1.65,2.02,-0.5
D2,26/11/04,Duisburg,Eintracht Frankfurt,1,1,D,1,0,H,1.72,3.2,4.33,1.65,3.5,4.5,1.75,3.35,4.35,1.85,3.1,3.6,1.73,3.2,4.33,1.75,3.5,4.2,1.75,3.3,4,1.75,1.95,1.75,1.89,-0.5
D2,26/11/04,Ein Trier,FC Cologne,0,0,D,0,0,D,2.75,3.2,2.25,3.1,3.2,2.1,3,3.2,2.2,3,2.9,2.2,2.8,3.2,2.2,3.1,3.2,2.2,2.8,3.2,2.2,1.85,1.85,1.55,2.2,0.5,,
D2,28/11/04,Aachen,TSV Munich 1860,5,1,H,3,1,H,1.9,3.2,3.5,1.95,3.25,3.4,1.95,3.25,3.55,1.9,3.1,3.5,,,,,,,1.95,3.25,3.3,1.65,2.05,1.95,1.7,-0.5,,
D2,28/11/04,Erfurt,Karlsruhe,4,2,H,3,2,H,2.2,3.2,2.8,2.1,3.2,3.1,2.2,3.1,3.1,2.1,2.8,3.3,,,,2.1,3.2,3.25,2.1,3.2,3,2.05,1.65,2.2,1.55,-0.5,,
D2,28/11/04,Erzgebirge Aue,Dresden,4,1,H,2,1,H,1.83,3.2,3.75,1.8,3.4,3.8,1.8,3.4,4,1.75,3.2,4,,,,1.8,3.4,4,1.85,3.15,3.75,1.85,1.85,1.8,1.84,-0.5,,
D2,28/11/04,SpVgg Greuther Fürth,Essen,3,2,H,1,0,H,1.4,3.75,7,1.45,3.8,6.2,1.5,3.6,6.4,1.5,3.5,5.4,,,,,,,1.4,3.75,7,1.75,1.95,2.11,1.44,-1.5,,
D2,28/11/04,Unterhaching,Saarbrucken,1,3,A,0,2,A,2,3,3.4,1.85,3.3,3.7,1.85,3.35,3.8,1.8,3.1,3.8,,,,1.85,3.4,3.8,1.85,3.25,3.6,1.71,2,1.85,1.78,-0.5,,
D2,29/11/04,Energie Cottbus,Burghausen,0,2,A,0,0,D,1.9,3.2,3.5,1.85,3.3,3.7,1.9,3.3,3.7,1.8,3.1,3.8,1.727,3.2,4.333,1.75,3.3,4.5,1.75,3.3,4,1.85,1.85,1.9,1.74,-0.5,,
D2,03/12/04,Essen,Ahlen,1,0,H,0,0,D,2.5,3,2.6,2.3,3,2.9,2.3,3.1,2.9,2.2,2.8,3.1,2.2,3,3,2.25,3.2,3,2.2,3,3,1.85,1.85,2.3,1.5,-0.5,,
D2,03/12/04,Karlsruhe,Duisburg,0,3,A,0,3,A,2.5,3.1,2.5,2.7,3.2,2.35,2.65,3.1,2.5,2.5,3,2.5,2.6,3.2,2.38,2.7,3.2,2.4,2.5,3.1,2.5,1.85,1.85,1.43,2.5,0.5,,
D2,03/12/04,Saarbrucken,Erzgebirge Aue,2,1,H,2,0,H,1.9,3.25,3.4,1.85,3.3,3.75,1.86,3.3,3.85,1.85,3.1,3.6,1.83,3.2,3.75,1.85,3.4,3.8,1.9,3.3,3.4,1.79,1.9,1.86,1.78,-0.5,,
D2,05/12/04,Aachen,Burghausen,3,1,H,1,0,H,1.72,3.2,4.33,1.7,3.4,4.4,1.7,3.4,4.6,1.65,3.3,4.4,,,,1.67,3.6,4.5,1.65,3.3,4.6,1.71,2,1.7,1.96,-0.5,,
D2,05/12/04,Dresden,Ein Trier,4,1,H,1,1,D,2.2,3,3,2.1,3.2,3.1,2.2,3.2,3,2.2,2.9,3,,,,2,3.3,3.4,2.1,3.1,3.1,1.75,1.95,2.2,1.55,-0.5,,
D2,05/12/04,Eintracht Frankfurt,Energie Cottbus,3,1,H,2,0,H,1.72,3.4,4,1.7,3.4,4.4,1.7,3.4,4.6,1.7,3.2,4.2,,,,1.7,3.5,4.5,1.6,3.4,4.8,1.71,2,1.7,1.96,-0.5,,
D2,05/12/04,FC Cologne,Erfurt,1,1,D,0,0,D,1.33,4,8,1.3,4.45,8.5,1.33,4.25,8.75,1.33,4,7.5,,,,1.33,4.5,8,1.35,4,7.5,1.65,2.05,1.33,2.86,-0.5,,
D2,05/12/04,Oberhausen,Unterhaching,3,1,H,0,0,D,2,3.2,3.2,1.95,3.2,3.5,2,3.2,3.5,2,3,3.3,,,,2,3.3,3.4,1.9,3.25,3.4,1.85,1.85,2,1.67,-0.5,,
D2,06/12/04,TSV Munich 1860,SpVgg Greuther Fürth,2,1,H,0,0,D,2.2,3,3,2.05,3.15,3.25,2.15,3.1,3.2,2.1,2.9,3.2,2,3.2,3.2,2.2,3,3.25,2,3.2,3.2,1.75,1.95,2.15,1.57,-0.5,,
D2,10/12/04,Burghausen,Eintracht Frankfurt,0,3,A,0,1,A,2.2,3.2,2.8,2.25,3.2,2.8,2.3,3.2,2.85,2.4,3,2.6,2.25,3.2,2.75,2.3,3.2,2.9,2.2,3.2,2.8,1.79,1.9,2.3,1.51,-0.5,,,,
D2,10/12/04,Energie Cottbus,Karlsruhe,4,1,H,2,1,H,1.9,3.2,3.5,1.9,3.25,3.6,1.9,3.25,3.75,1.8,3.1,3.8,1.8,3.2,4,1.8,3.4,4,1.85,3.3,3.55,1.75,1.95,1.9,1.74,-0.5,,,,
D2,10/12/04,SpVgg Greuther Fürth,Aachen,3,2,H,1,1,D,2,3.2,3.2,2.05,3.2,3.2,2.15,3.2,3.1,2,3.1,3.2,2,3.2,3.2,2.1,3.2,3.25,2,3.1,3.3,1.75,1.95,2.15,1.57,-0.5,,,,
D2,12/12/04,Ahlen,TSV Munich 1860,1,0,H,1,0,H,2.25,3.2,2.75,2.3,3.25,2.7,2.35,3.15,2.8,2.4,3,2.6,,,,2.3,3.2,2.9,2.4,3.1,2.6,1.85,1.85,2.35,1.48,-0.5,,,,
D2,12/12/04,Duisburg,FC Cologne,1,0,H,0,0,D,2.25,3.1,2.8,2.3,3.1,2.8,2.3,3.2,2.85,2.3,2.8,2.9,,,,2.25,3.2,3,2.25,3.05,2.85,1.85,1.85,2.3,1.51,-0.5,,,,
D2,12/12/04,Ein Trier,Saarbrucken,2,1,H,2,0,H,2.2,3.25,2.75,2.1,3.2,3.1,2.1,3.2,3.2,2.1,2.9,3.2,,,,2.1,3.2,3.25,2.05,3.2,3.1,1.71,2,2.1,1.6,-0.5,,,,
D2,12/12/04,Erfurt,Dresden,1,1,D,0,0,D,1.9,3.2,3.5,2,3.3,3.25,1.9,3.25,3.75,1.8,3.1,3.8,,,,1.85,3.4,3.8,1.85,3.25,3.6,1.85,1.85,1.9,1.74,-0.5,,,,
D2,12/12/04,Erzgebirge Aue,Oberhausen,2,0,H,1,0,H,1.83,3.2,3.75,1.85,3.3,3.7,1.9,3.25,3.75,1.8,3.1,3.8,,,,1.9,3.3,3.75,1.8,3.3,3.75,1.71,2,1.9,1.74,-0.5,,,,
D2,12/12/04,Unterhaching,Essen,4,0,H,3,0,H,1.83,3.25,3.6,1.85,3.3,3.7,1.85,3.25,3.95,1.8,3.1,3.8,,,,1.8,3.4,4,1.85,3.25,3.65,1.71,2,1.85,1.78,-0.5,,,,
D2,22/01/05,Burghausen,Karlsruhe,1,1,D,1,0,H,1.8,3.3,3.75,1.85,3.3,3.7,1.85,3.3,3.9,1.9,3.1,3.5,,,,1.85,3.4,3.8,1.8,3.25,3.8,1.75,1.95,1.85,1.79,-0.5,,,,
D2,22/01/05,Ein Trier,Oberhausen,2,2,D,1,0,H,1.8,3.3,3.75,1.85,3.3,3.7,1.9,3.25,3.75,1.9,3.1,3.5,,,,1.83,3.4,4,1.8,3.25,3.8,1.75,1.95,1.9,1.74,-0.5,,,,
D2,22/01/05,Erzgebirge Aue,Essen,1,1,D,0,0,D,1.61,3.5,4.5,1.7,3.4,4.4,1.7,3.35,4.7,1.75,3.2,4,,,,1.67,3.6,4.5,1.7,3.35,4.2,1.75,1.95,1.7,1.96,-0.5,,,,
D2,23/01/05,Ahlen,SpVgg Greuther Fürth,2,4,A,1,2,A,2.37,3,2.7,2.4,3.2,2.6,2.4,3.2,2.7,2.3,2.9,2.8,,,,2.4,3.1,2.8,2.45,3.1,2.55,1.85,1.85,2.4,1.46,-0.5,,,,
D2,23/01/05,Energie Cottbus,FC Cologne,3,5,A,2,2,D,2.7,3.1,2.3,2.7,3.25,2.3,2.75,3.25,2.35,2.7,3,2.3,,,,2.9,3.2,2.3,2.7,3.15,2.3,1.85,1.85,1.49,2.35,0.5,,,,
D2,23/01/05,Duisburg,Dresden,4,2,H,1,0,H,1.4,3.75,7,1.35,4.2,7.5,1.4,4,7.5,1.45,3.8,5.4,,,,1.4,4,7.5,1.35,3.9,8,1.65,2.05,1.9,1.56,-1.5,,,,
D2,23/01/05,Erfurt,Saarbrucken,0,1,A,0,1,A,2.2,3,3,2.1,3.2,3.1,2.1,3.25,3.15,2.1,3,3.1,,,,2.1,3.2,3.25,2.1,3.2,3,1.79,1.9,2.1,1.6,-0.5,,,,
D2,23/01/05,Unterhaching,TSV Munich 1860,1,1,D,0,0,D,2.4,3.1,2.6,2.4,3.2,2.6,2.45,3.2,2.65,2.4,3,2.6,,,,2.5,3.1,2.7,2.55,3.1,2.45,1.75,1.95,2.45,1.45,-0.5,,
D2,24/01/05,Eintracht Frankfurt,Aachen,1,0,H,1,0,H,2,3.2,3.2,1.95,3.25,3.4,2,3.25,3.4,2.1,3,3.1,,,,2.1,3,3.5,2.05,3.1,3.2,1.65,2.05,2,1.66,-0.5,,
D2,28/01/05,Essen,Ein Trier,2,2,D,1,1,D,1.9,3.25,3.39,1.9,3.3,3.55,1.9,3.25,3.6,2,3.1,3.2,1.909,3.25,3.4,1.9,3.3,3.75,1.9,3.25,3.6,,,,,,,
D2,28/01/05,FC Cologne,Burghausen,8,1,H,4,0,H,1.39,3.75,7,1.4,4.2,6.3,1.41,4,7,1.5,3.7,5,1.4,3.75,7,1.444,4,6.5,1.41,4,7,,,,,,,
D2,28/01/05,TSV Munich 1860,Erzgebirge Aue,1,0,H,1,0,H,1.66,3.39,4.33,1.65,3.5,4.5,1.7,3.4,4.6,1.7,3.2,4.2,1.667,3.4,4.333,1.7,3.5,4.5,1.7,3.4,4.6,,,,,,,
D2,30/01/05,Aachen,Ahlen,0,2,A,0,1,A,1.57,3.5,5,1.5,3.8,5.5,1.55,3.6,5.5,1.55,3.5,4.8,,,,1.533,3.8,5.5,1.55,3.6,5.5,,,,,,,
D2,30/01/05,SpVgg Greuther Fürth,Unterhaching,3,1,H,2,1,H,1.5,3.6,5.5,1.5,3.8,5.5,1.5,3.8,5.75,1.6,3.4,4.6,,,,1.533,3.8,5.5,1.5,3.8,5.75,,,,,,,
D2,30/01/05,Karlsruhe,Eintracht Frankfurt,3,0,H,1,0,H,2.62,3.1,2.37,2.5,3.2,2.5,2.6,3.2,2.45,2.6,3,2.4,,,,2.8,3.1,2.4,2.6,3.2,2.45,,,,,,,
D2,30/01/05,Oberhausen,Erfurt,4,3,H,3,1,H,1.66,3.25,4.33,1.6,3.6,4.8,1.65,3.4,5,1.7,3.2,4.2,,,,1.667,3.6,4.5,1.65,3.4,5,,,,,,,
D2,30/01/05,Saarbrucken,Duisburg,4,1,H,0,0,D,2.5,3.1,2.5,2.5,3.2,2.5,2.5,3.2,2.55,2.45,3,2.55,,,,2.6,3.1,2.6,2.5,3.2,2.55,,,,,,,
D2,31/01/05,Dresden,Energie Cottbus,0,1,A,0,0,D,2,3.2,3.2,2,3.25,3.3,2,3.25,3.4,2,3.1,3.2,1.909,3.2,3.5,1.95,3.1,3.75,2,3.25,3.4,,,,,,,
D2,04/02/05,Energie Cottbus,Saarbrucken,1,1,D,1,0,H,2,3.2,3.2,2.1,3.2,3.1,2.1,3.2,3.2,2,3.1,3.2,2,3.2,3.2,2,3.3,3.4,2.15,3.25,2.85,1.71,2,2.1,1.6,-0.5,,
D2,04/02/05,Duisburg,Oberhausen,4,1,H,2,1,H,1.44,3.75,6,1.4,4,6.8,1.45,3.9,6.5,1.6,3.4,4.6,1.5,3.4,6,1.5,4,5.5,1.55,3.3,5.5,1.65,2.05,2,1.5,-1.5,,
D2,04/02/05,Eintracht Frankfurt,FC Cologne,1,0,H,0,0,D,2.5,3.1,2.5,2.5,3.2,2.5,2.55,3.2,2.55,2.5,3,2.5,2.38,3.2,2.6,2.4,3.1,2.8,2.4,3.1,2.6,1.65,2.05,2.55,1.42,-0.5,,
D2,06/02/05,Ein Trier,TSV Munich 1860,2,2,D,0,0,D,2.3,3.2,2.63,2.4,3.2,2.6,2.35,3.2,2.75,2.3,3,2.7,,,,2.3,3.2,2.9,2.2,3.1,2.9,1.71,2,2.35,1.48,-0.5,,
D2,06/02/05,Erfurt,Essen,1,1,D,0,0,D,2,3.2,3.2,1.9,3.25,3.6,2,3.25,3.4,2,3.1,3.2,,,,2,3.3,3.4,1.95,3.25,3.3,1.79,1.9,2,1.66,-0.5,,
D2,06/02/05,Erzgebirge Aue,SpVgg Greuther Fürth,2,1,H,2,0,H,2.5,3.1,2.5,2.5,3.2,2.5,2.45,3.2,2.65,2.5,3,2.5,,,,2.6,3.1,2.6,2.55,3.1,2.45,1.75,1.95,2.45,1.45,-0.5,,,,
D2,06/02/05,Karlsruhe,Aachen,0,1,A,0,0,D,2.5,3.1,2.5,2.5,3.2,2.5,2.55,3.2,2.55,2.5,3,2.5,,,,2.6,3.1,2.6,2.35,3.1,2.65,1.75,1.95,2.55,1.42,-0.5,,,,
D2,06/02/05,Unterhaching,Ahlen,2,1,H,2,0,H,2.1,3.2,3,1.9,3.25,3.6,2,3.25,3.4,2,3.1,3.2,,,,2,3.3,3.4,2.1,3.2,3,1.75,1.95,2,1.66,-0.5,,,,
D2,07/02/05,Burghausen,Dresden,2,1,H,1,0,H,1.72,3.4,4,1.75,3.4,4.1,1.75,3.4,4.2,1.75,3.2,4,1.73,3.2,4.33,1.75,3.5,4.2,1.7,3.4,4.1,1.71,2,1.75,1.88,-0.5,,,,
D2,11/02/05,Aachen,Unterhaching,2,3,A,1,2,A,1.57,3.5,5,1.55,3.6,5.3,1.5,3.65,5.95,1.5,3.7,5,1.53,3.5,5.5,1.5,4,5.5,1.55,3.6,5,1.6,2.15,2.15,1.42,-1.5,,,,
D2,11/02/05,Dresden,Eintracht Frankfurt,2,1,H,1,0,H,2.62,3.1,2.37,2.75,3.2,2.3,2.55,3.2,2.5,2.5,3,2.5,2.5,3.25,2.4,2.7,3.1,2.5,2.55,3.1,2.45,1.71,2,1.42,2.5,0.5,,,,
D2,11/02/05,Oberhausen,Energie Cottbus,0,1,A,0,0,D,1.9,3.25,3.4,1.95,3.25,3.4,1.95,3.3,3.5,2.1,3,3.1,1.91,3.25,3.4,2,3.3,3.4,1.9,3.25,3.4,1.71,2,1.95,1.7,-0.5,,,,
D2,13/02/05,Ahlen,Erzgebirge Aue,1,2,A,0,0,D,2,3.2,3.2,1.8,3.4,3.8,1.9,3.25,3.75,1.9,3.1,3.5,,,,1.9,3.3,3.75,1.85,3.3,3.55,1.75,1.95,1.9,1.74,-0.5,,,,
D2,13/02/05,Essen,Duisburg,1,0,H,0,0,D,3,3.2,2.1,2.9,3.2,2.2,2.9,3.2,2.25,2.7,3,2.3,,,,3,3.2,2.25,2.8,3.1,2.25,1.85,1.85,1.52,2.25,0.5,,,,
D2,13/02/05,SpVgg Greuther Fürth,Ein Trier,3,3,D,2,0,H,1.5,3.6,5.5,1.5,3.8,5.5,1.55,3.5,5.75,1.45,3.8,5.4,,,,1.5,4,5.5,1.45,3.75,6,1.55,2.25,1.55,2.18,-0.5,,,,
D2,13/02/05,TSV Munich 1860,Erfurt,3,1,H,1,0,H,1.57,3.5,5,1.5,3.8,5.5,1.5,3.7,6,1.5,3.7,5,,,,1.53,3.75,5.5,1.5,3.6,5.5,1.65,2.05,2.11,1.44,-1.5,,,,
D2,13/02/05,Saarbrucken,Burghausen,2,4,A,1,0,H,1.72,3.4,4,1.8,3.4,3.8,1.7,3.4,4.5,1.7,3.2,4.2,,,,1.7,3.5,4.5,1.7,3.4,4.1,1.65,2.05,1.7,1.94,-0.5,,,,
D2,14/02/05,FC Cologne,Karlsruhe,2,2,D,0,1,A,1.36,4,7,1.35,4.2,7.5,1.35,4.2,8,1.4,3.9,6,1.36,3.75,8,1.36,4.5,7,1.4,3.75,7,1.55,2.25,1.82,1.61,-1.5,,,,
D2,18/02/05,Energie Cottbus,Essen,0,0,D,0,0,D,1.8,3.3,3.75,1.75,3.4,4.1,1.77,3.4,4.15,1.75,3.2,4,1.73,3.2,4.33,1.67,3.6,4.5,1.8,3.3,3.75,1.75,1.95,1.77,1.87,-0.5,,,,
D2,18/02/05,Ein Trier,Ahlen,2,0,H,1,0,H,2,3.2,3.2,1.95,3.25,3.4,1.95,3.25,3.6,1.85,3.1,3.6,1.91,3.2,3.5,1.95,3.1,3.75,1.85,3.2,3.7,1.65,2.05,1.95,1.71,-0.5,,,,
D2,18/02/05,Karlsruhe,Dresden,1,1,D,1,1,D,1.83,3.2,3.75,1.8,3.4,3.8,1.8,3.35,4.1,1.75,3.2,4,1.73,3.2,4.33,1.8,3.4,4,1.75,3.3,4,1.71,2,1.8,1.84,-0.5,,,,
D2,20/02/05,Burghausen,Oberhausen,2,2,D,0,1,A,1.8,3.2,4,1.85,3.3,3.7,1.83,3.3,4,1.8,3.1,3.8,,,,1.75,3.25,4.5,1.75,3.3,4,1.71,2,1.83,1.81,-0.5
D2,20/02/05,Eintracht Frankfurt,Saarbrucken,3,0,H,2,0,H,1.72,3.4,4,1.7,3.4,4.4,1.67,3.45,4.8,1.65,3.3,4.4,,,,1.67,3.6,4.5,1.65,3.4,4.5,1.6,2.15,1.67,2.01,-0.5
D2,20/02/05,Erfurt,SpVgg Greuther Fürth,1,2,A,1,1,D,3,3.2,2.1,2.8,3.3,2.2,3,3.2,2.2,2.7,3,2.3,,,,3,3.2,2.2,2.8,3,2.3,1.75,1.95,1.55,2.2,0.5
D2,20/02/05,Erzgebirge Aue,Unterhaching,1,0,H,0,0,D,1.8,3.2,4,1.8,3.4,3.8,1.8,3.35,4.1,1.85,3.1,3.6,,,,1.9,3.3,3.75,1.85,3.3,3.6,1.65,2.05,1.8,1.84,-0.5
D2,20/02/05,FC Cologne,Aachen,1,0,H,0,0,D,1.66,3.4,4.33,1.65,3.5,4.5,1.67,3.5,4.65,1.7,3.2,4.2,,,,1.67,3.6,4.5,1.65,3.4,4.5,1.65,2.05,1.67,2,-0.5
D2,21/02/05,Duisburg,TSV Munich 1860,0,1,A,0,0,D,1.66,3.4,4.33,1.65,3.5,4.5,1.7,3.45,4.5,1.85,3.1,3.6,1.67,3.25,4.5,1.67,3.4,5,1.65,3.4,4.5,1.71,2,1.7,1.95,-0.5
D2,25/02/05,Essen,Burghausen,1,2,A,1,0,H,2.1,3.2,3,2.05,3.2,3.2,2.05,3.15,3.4,2.1,3,3.1,2,3.2,3.2,2.1,3.2,3.25,2.1,3.3,2.9,1.75,1.95,2.05,1.64,-0.5
D2,25/02/05,TSV Munich 1860,Energie Cottbus,1,0,H,0,0,D,1.5,3.4,6,1.6,3.6,4.8,1.5,3.6,5.8,1.55,3.5,4.8,1.57,3.25,5.5,1.62,3.6,5,1.5,3.6,5.5,1.71,2,2.22,1.39,-1.5
D2,27/02/05,Aachen,Erzgebirge Aue,1,5,A,0,1,A,1.8,3.2,4,1.65,3.5,4.5,1.7,3.4,4.6,1.65,3.3,4.4,,,,1.7,3.5,4.5,1.75,3.4,3.8,1.65,2.05,1.7,1.96,-0.5
D2,27/02/05,Ahlen,Erfurt,2,3,A,2,0,H,1.8,3.3,3.75,1.7,3.4,4.4,1.73,3.3,4.5,1.8,3.1,3.8,,,,1.8,3.3,4,1.75,3.3,4,1.79,1.9,1.73,1.9,-0.5
D2,27/02/05,Oberhausen,Eintracht Frankfurt,0,3,A,0,1,A,2.62,3.1,2.37,2.5,3.2,2.5,2.55,3.15,2.55,2.5,3,2.5,,,,2.6,3.1,2.6,2.45,3.15,2.5,1.65,2.05,2.55,1.41,-0.5
D2,27/02/05,Unterhaching,Ein Trier,1,0,H,0,0,D,1.8,3.3,3.75,1.9,3.25,3.6,1.91,3.25,3.7,1.9,3.1,3.5,,,,1.9,3.3,3.75,1.95,3.15,3.4,1.6,2.15,1.91,1.73,-0.5
D2,28/02/05,SpVgg Greuther Fürth,Duisburg,1,3,A,0,2,A,2.1,3.2,3,2.1,3.2,3.1,2.1,3.2,3.2,1.85,3.1,3.6,2,3,3.4,2,3.1,3.6,1.95,3.15,3.4,1.79,1.9,2.1,1.6,-0.5
D2,04/03/05,Burghausen,TSV Munich 1860,0,3,A,0,1,A,2.37,3.1,2.62,2.65,3.25,2.35,2.52,3.2,2.55,2.5,3,2.5,2.5,3.1,2.5,2.6,3.1,2.6,2.45,3.1,2.55,2.05,1.65,2.52,1.42,-0.5
D2,04/03/05,Dresden,Aachen,2,0,H,2,0,H,2.5,3.1,2.5,2.5,3.2,2.5,2.4,3.2,2.7,2.3,3,2.7,2.4,3.2,2.5,2.5,3.1,2.7,2.3,3.2,2.65,2,1.71,4.65,1.05,-1.5
D2,04/03/05,Duisburg,Ahlen,1,0,H,0,0,D,1.44,3.75,6,1.45,3.9,6,1.47,3.75,6.5,1.5,3.7,5,1.44,3.75,6,1.5,4,5.5,1.4,3.75,7,2,1.71,2.03,1.48,-1.5
D2,06/03/05,Energie Cottbus,SpVgg Greuther Fürth,2,0,H,1,0,H,2.5,3.1,2.5,2.5,3.2,2.5,2.4,3.2,2.7,2.3,3,2.7,,,,2.3,3.2,2.8,2.55,3.1,2.45,1.95,1.75,4.65,1.05,-1.5,,,
D2,06/03/05,Eintracht Frankfurt,Essen,1,0,H,1,0,H,1.5,3.6,5.5,1.45,3.9,6,1.47,3.75,6.5,1.45,3.8,5.4,,,,1.4,4,7.5,1.5,3.6,5.5,2.15,1.6,2.03,1.48,-1.5,,,
D2,06/03/05,Ein Trier,Erzgebirge Aue,1,0,H,1,0,H,2.2,3.2,2.8,2.05,3.25,3.15,2.1,3.25,3.15,2.1,3,3.1,,,,2.1,3.2,3.2,2.1,3.2,3,2.05,1.65,3.6,1.13,-1.5,,,
