Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,,,
F1,03/11/02,Nantes,Bordeaux,0,0,D,0,0,D,2.3,3,2.8,2.3,3,3,2.4,2.9,2.7,2.1,3,3.2,2.3,2.9,3,2.25,2.8,3.1,1.95,1.65,,,
F1,03/11/02,Sedan,Paris Saint-Germain,3,1,H,1,1,D,2.875,3,2.25,3,3,2.3,2.7,2.8,2.5,2.75,3,2.37,3,2.9,2.3,2.9,2.9,2.3,1.9,1.7,,,
F1,07/11/02,AC Ajaccio,AJ Auxerre,1,0,H,0,0,D,2.8,2.875,2.375,2.75,3,2.45,2.7,2.9,2.4,,,,2.75,2.875,2.4,2.8,2.9,2.37,1.95,1.65,,,
F1,07/11/02,Le Havre AC,Lyon,1,2,A,0,1,A,2.875,3,2.25,3.1,2.9,2.3,3,2.9,2.2,,,,3,2.875,2.25,3.3,2.87,2.1,2.05,1.6,,,
F1,08/11/02,Nice,AS Monaco,1,0,H,1,0,H,2.1,3,3.2,2.34,3,3.16,2.4,2.7,2.9,2.1,3,3.2,2.2,3,3.2,2.2,2.8,3.2,2,1.7,,,
F1,09/11/02,Bordeaux,Stade Rennes,2,0,H,1,0,H,1.66,3.1,5,1.64,3.45,5.4,1.6,3.3,4.8,1.67,3.2,5,1.571,3.4,5.5,1.57,3.3,5.5,1.9,1.74,,,
F1,09/11/02,Guingamp,Marseille,0,0,D,0,0,D,2.5,2.87,2.62,2.65,3.11,2.7,2.3,2.8,2.9,2.5,3.2,2.5,2.5,3,2.7,2.5,2.9,2.62,1.96,1.7,,,
F1,09/11/02,Lille,Nantes,0,1,A,0,0,D,1.8,3,4.2,1.9,3.2,4.12,1.8,3,4,1.8,3.2,4,1.833,3.1,4,1.8,3.1,4,2,1.65,,,
F1,09/11/02,Montpellier,Sedan,2,0,H,1,0,H,2.2,3,3,2.3,3.1,3.28,2.4,2.7,2.9,2.1,3,3.2,2.25,2.875,3.2,2.1,2.87,3.3,2,1.65,,,
F1,09/11/02,Paris Saint-Germain,Sochaux,1,1,D,0,0,D,1.66,3.1,5,1.7,3.31,5.25,1.65,3.2,4.6,1.61,3.2,5.5,1.6,3.4,5.5,1.61,3.1,5.5,1.98,1.75,,,
F1,09/11/02,Strasbourg,Lens,2,0,H,1,0,H,2.25,3,2.87,2.38,3.12,3,2.3,2.8,2.9,2.37,3,2.75,2.3,3,3,2.37,2.87,2.8,2.05,1.6,,,
F1,09/11/02,Troyes,Bastia,3,0,H,1,0,H,2.2,3,3,2.27,3,3.15,2.1,2.9,3.2,2.4,3.2,2.5,2.2,3,3.2,2.1,3,3.2,2.05,1.6,,,
F1,14/11/02,AS Monaco,AC Ajaccio,3,2,H,0,0,D,1.66,3.1,5,1.67,3.3,5.35,1.7,3.1,4.4,,,,1.6,3.25,5.5,1.61,3.1,5.5,1.9,1.7,,,
F1,16/11/02,AJ Auxerre,Nice,0,2,A,0,0,D,1.909,3,3.75,1.9,3.1,4.25,1.8,3,4,1.8,3.2,4,1.909,3,4,1.9,3,3.75,1.91,1.7,,,
F1,16/11/02,Bastia,Guingamp,0,2,A,0,1,A,1.8,3,4.2,1.85,3.15,4,1.85,3,3.8,1.91,3.2,3.5,1.85,3.1,4,1.9,3,3.75,1.91,1.7,,,
F1,16/11/02,Lyon,Bordeaux,4,2,H,1,2,A,1.727,3.1,4.5,1.75,3.2,4.75,1.8,3,4,1.67,3.25,4.5,1.7,3.2,4.75,1.72,3.1,4.5,1.86,1.75,,,
F1,16/11/02,Marseille,Troyes,0,0,D,0,0,D,1.5,3.4,6,1.55,3.45,6.65,1.5,3.5,5.4,1.57,3.25,5.5,1.5,3.4,6.5,1.5,3.3,6.5,1.91,1.7,,,
F1,16/11/02,Nantes,Strasbourg,4,1,H,1,1,D,2,3,3.4,2,3.05,3.6,2,2.9,3.4,2,3,3.4,2.1,3,3.3,2,3,3.4,1.95,1.65,,,
F1,16/11/02,Stade Rennes,Le Havre AC,0,0,D,0,0,D,2,3,3.4,1.96,3.05,3.7,1.9,3,3.6,2,3,3.4,2.05,3,3.4,1.9,2.87,4,1.95,1.65,,,
F1,16/11/02,Sedan,Lille,0,1,A,0,0,D,2.1,3,3.2,2,3.1,3.55,2,2.9,3.4,2,3,3.4,2.1,3,3.25,2,3,3.4,1.95,1.65,,,
F1,16/11/02,Sochaux,Montpellier,0,0,D,0,0,D,1.615,3.25,5,1.62,3.4,5.6,1.6,3.2,5,1.62,3.25,5,1.615,3.4,5,1.61,3.3,5,1.91,1.7,,,
F1,17/11/02,Lens,Paris Saint-Germain,3,2,H,1,1,D,2.25,3,2.875,2.3,2.95,3,2.3,2.8,2.9,2.38,2.88,2.8,2.3,3,3,2.25,2.8,3.1,1.95,1.65,,,
F1,22/11/02,Paris Saint-Germain,Nantes,0,1,A,0,1,A,1.727,3.1,4.5,1.71,3.35,5.2,1.65,3.2,4.6,,,,1.667,3.2,5,1.66,3.1,5,1.9,1.77,,,
F1,23/11/02,Bordeaux,AC Ajaccio,1,0,H,1,0,H,1.667,2.875,5.5,1.73,3.3,5.2,1.65,3.2,4.6,,,,1.667,3.2,5,1.61,3.1,5.5,1.9,1.7,,,
F1,23/11/02,Guingamp,Sochaux,2,0,H,0,0,D,2.2,2.8,3.2,2.15,3,3.3,2.2,2.7,3.2,,,,2.1,3,3.25,2.1,2.87,3.3,2.05,1.6,,,
F1,23/11/02,Le Havre AC,AJ Auxerre,0,1,A,0,0,D,2.625,2.875,2.5,2.7,3.1,2.45,2.8,2.8,2.4,,,,2.75,3,2.4,2.62,2.75,2.62,2.05,1.6,,,
F1,23/11/02,Lille,Lyon,2,1,H,0,0,D,2.625,2.875,2.5,2.7,3.1,2.45,2.6,2.8,2.6,,,,2.625,3,2.5,2.5,2.9,2.62,2.05,1.6,,,
F1,23/11/02,Marseille,Lens,1,0,H,1,0,H,2,3,3.4,2.1,3.05,3.3,2.2,2.7,3.2,,,,2.05,3,3.4,1.9,3,3.75,1.95,1.65,,,
F1,23/11/02,Montpellier,Bastia,2,2,D,2,0,H,1.833,3,4,1.9,3,4.1,1.9,2.9,3.8,,,,1.85,3.1,4,1.83,3,4,2.05,1.6,,,
F1,23/11/02,Nice,Stade Rennes,0,0,D,0,0,D,1.444,3.5,7,1.53,3.45,6.75,1.55,3.3,5.2,,,,1.444,3.6,7,1.5,3.4,6,1.95,1.65,,,
F1,23/11/02,Troyes,Sedan,2,0,H,1,0,H,2,2.875,3.6,2,3,3.7,2.2,2.7,3.2,,,,2,3,3.5,2,2.87,3.6,2.05,1.6,,,
F1,24/11/02,Strasbourg,AS Monaco,1,0,H,1,0,H,2.1,3,3.2,2.15,3,3.25,2.2,2.7,3.2,,,,2.25,3,3,2.2,2.87,3.1,1.9,1.7,,,
F1,30/11/02,AC Ajaccio,Le Havre AC,1,2,A,1,0,H,1.833,3,4,1.9,3,4.1,1.85,2.9,4,1.8,3.2,4,1.909,3,3.8,1.8,3,4.2,2.05,1.6,,,
F1,30/11/02,Bastia,Marseille,2,0,H,0,0,D,2.5,2.875,2.625,2.5,2.9,2.8,2.4,2.8,2.8,2.5,3.2,2.5,2.4,3,2.75,2.5,2.9,2.62,1.9,1.7,,,
F1,30/11/02,AS Monaco,Paris Saint-Germain,3,1,H,1,1,D,2.2,3,3,2.25,3,3.05,2.1,2.8,3.3,2.2,3,3,2.3,3,2.875,2.2,2.87,3.1,1.9,1.7,,,
F1,30/11/02,Nantes,Montpellier,3,1,H,1,0,H,1.615,3.25,5,1.66,3.25,5.25,1.7,3,4.6,1.61,3.25,5,1.615,3.25,5.2,1.61,3.1,5.5,1.95,1.65,,,
F1,30/11/02,Stade Rennes,Lille,5,1,H,3,0,H,2.4,3,2.7,2.4,3,2.8,2.4,2.8,2.8,2.5,3.2,2.5,2.5,3,2.6,2.5,2.9,2.62,2.05,1.6,,,
F1,30/11/02,Sedan,Nice,3,0,H,1,0,H,2.625,2.875,2.5,2.5,2.9,2.8,2.4,2.8,2.8,2.5,3.2,2.5,2.625,3,2.5,2.6,2.8,2.6,2.05,1.6,,,
F1,30/11/02,Sochaux,Troyes,1,0,H,0,0,D,1.8,3.1,4,1.7,3.1,5.15,1.75,3,4.4,1.72,3.2,4.33,1.727,3.1,4.75,1.66,3.1,5,2.15,1.55,,,
F1,01/12/02,AJ Auxerre,Bordeaux,1,0,H,1,0,H,1.833,3,4,1.9,3,4.16,1.9,2.9,3.8,1.83,3.2,3.75,1.909,3,3.8,1.9,3,3.75,1.95,1.65,,,
F1,01/12/02,Lens,Guingamp,1,3,A,1,1,D,1.8,3.1,4,1.85,3,4.35,1.8,2.9,4.2,1.8,3.2,4,1.85,3.1,4,1.83,3,4,1.95,1.65,,,
F1,01/12/02,Lyon,Strasbourg,2,1,H,1,1,D,1.615,3.25,5,1.55,3.35,6.2,1.5,3.4,5.6,1.57,3.25,5.5,1.533,3.4,6,,,,1.75,1.85,,,
F1,03/12/02,Nice,AC Ajaccio,3,0,H,2,0,H,1.615,3.25,5,1.7,3.28,5.27,1.65,3.1,4.8,1.62,3.25,5,1.571,3.4,5.5,1.53,3.4,5.5,2,1.7,,,
F1,04/12/02,Bastia,Sedan,0,1,A,0,1,A,1.8,3.1,4,1.85,3.2,4.25,1.9,2.9,3.8,1.8,3.2,4,1.8,3.2,4,1.8,3.1,4,1.95,1.65,,,
F1,04/12/02,Guingamp,Nantes,2,0,H,0,0,D,2.1,3,3.2,2.15,3,3.3,2.3,2.8,2.9,2.1,3,3.2,2.1,3,3.25,2.25,2.87,3,1.95,1.65,,,
F1,04/12/02,Le Havre AC,Bordeaux,1,0,H,0,0,D,2.5,3,2.6,2.55,3,2.65,2.6,2.8,2.6,2.5,3.2,2.5,2.5,3,2.6,2.62,2.9,2.5,1.95,1.65,,,
F1,04/12/02,Lille,AJ Auxerre,2,2,D,2,1,H,2.2,3,3,2.15,3,3.3,2.4,2.8,2.8,2.2,3,3,2.2,3,3.1,2,3,3.4,1.95,1.65,,,
F1,04/12/02,Marseille,Sochaux,1,0,H,1,0,H,1.8,3.1,4,1.8,3.1,4.75,1.75,3,4.4,1.73,3.2,4.33,1.727,3.2,4.5,1.66,3.1,5,1.95,1.65,,,
F1,04/12/02,Montpellier,AS Monaco,1,2,A,1,1,D,2.375,3,2.7,2.5,3,2.7,2.6,2.8,2.6,2.5,3.2,2.5,2.5,3,2.6,2.37,2.9,2.8,1.95,1.65,,,
F1,04/12/02,Paris Saint-Germain,Lyon,2,0,H,1,0,H,2.375,2.875,2.8,2.4,3,2.85,2.3,2.8,2.9,2.38,3,2.75,2.4,2.9,2.8,2.3,2.8,3,1.8,1.8,,,
F1,04/12/02,Strasbourg,Stade Rennes,1,3,A,0,0,D,1.667,3.1,5,1.75,3.25,4.75,1.65,3.1,4.8,1.67,3.25,4.5,1.667,3.2,5,1.61,3.3,5,1.9,1.7,,,
F1,04/12/02,Troyes,Lens,0,0,D,0,0,D,2.375,3,2.7,2.45,3,2.75,2.5,2.8,2.7,2.5,3.2,2.5,2.4,3,2.75,2.4,2.9,2.75,1.95,1.65,,,
F1,14/12/02,Sedan,Marseille,1,2,A,0,1,A,2.25,3,2.875,2.4,3,2.8,2.2,2.8,3.1,2.38,3.2,2.6,2.375,3,2.75,2.3,2.9,2.9,1.9,1.7,,,
F1,14/12/02,Sochaux,Bastia,2,0,H,2,0,H,1.727,3.1,4.5,1.7,3.3,4.7,1.7,3.1,4.4,1.73,3.2,4.33,1.667,3.2,5,1.61,3.1,5.5,1.95,1.65,,,
F1,15/12/02,AC Ajaccio,Lille,2,2,D,1,2,A,2.375,2.875,2.8,2.35,3,2.9,2.4,2.8,2.8,2.38,3.2,2.6,2.375,3,2.75,2.37,2.8,2.9,2.05,1.6,,,
F1,15/12/02,AJ Auxerre,Strasbourg,0,0,D,0,0,D,1.667,3.1,5,1.65,3.35,5,1.6,3.3,4.8,1.62,3.25,5,1.667,3.2,5,1.53,3.25,6,1.9,1.7,,,
F1,15/12/02,Bordeaux,Nice,4,0,H,2,0,H,2.1,3,3.2,2.1,3.1,3.3,2,2.9,3.4,2.1,3.2,3,2.1,3,3.25,2.1,2.87,3.3,1.95,1.65,,,
F1,15/12/02,Lens,Le Havre AC,1,0,H,1,0,H,1.727,3.1,4.5,1.75,3.2,4.55,1.7,3.1,4.4,1.62,3.25,5,1.727,3.2,4.5,1.66,3.1,5,1.85,1.75,,,
F1,15/12/02,Lyon,Montpellier,1,1,D,0,0,D,1.333,4,8,1.35,4.2,8,1.4,3.7,6.5,1.36,3.75,8,1.333,4.333,7.5,1.36,3.75,8,1.7,1.9,,,
F1,15/12/02,AS Monaco,Guingamp,4,0,H,1,0,H,2,3,3.4,1.95,3.1,3.75,1.9,3,3.6,2,3,3.4,2,3,3.5,2,3,3.4,1.8,1.8,,,
F1,15/12/02,Nantes,Troyes,2,1,H,2,1,H,1.667,3.1,5,1.65,3.3,5.15,1.65,3.2,4.6,1.57,3.25,5.5,1.615,3.25,5.25,1.61,3.1,5.5,1.9,1.7,,,
F1,15/12/02,Stade Rennes,Paris Saint-Germain,1,0,H,0,0,D,2.5,3.1,2.5,2.55,3,2.65,2.7,2.9,2.4,2.5,3.2,2.5,2.5,3,2.625,2.5,2.9,2.62,1.85,1.75,,,
F1,19/12/02,Paris Saint-Germain,Bordeaux,1,1,D,1,1,D,1.833,3,4,1.83,3.1,4.25,,,,,,,1.833,3.1,4,1.83,3,4,1.92,1.73,,,
F1,20/12/02,Bastia,Nantes,3,1,H,1,0,H,2.3,3,2.8,2.41,3.14,2.86,2.2,2.9,3,2.25,3.2,2.75,2.3,3,2.875,2.25,3,2.87,2.05,1.6,,,
F1,20/12/02,Guingamp,AC Ajaccio,3,1,H,3,1,H,1.727,3.1,4.5,1.73,3.25,5.25,1.6,3.2,5,1.62,3.25,5,1.667,3.2,5,1.61,3.1,5.5,1.85,1.91,,,
F1,20/12/02,Lille,Le Havre AC,1,0,H,0,0,D,1.727,3.1,4.5,1.75,3.24,5,1.7,3.1,4.4,1.73,3.2,4.33,1.727,3.2,4.5,1.72,3.1,4.5,1.95,1.73,,,
F1,20/12/02,Marseille,AS Monaco,1,1,D,0,1,A,2,3,3.4,2.06,3.05,3.7,1.85,3,3.8,1.91,3,3.75,2,3,3.5,1.9,2.87,4,2,1.67,,,
F1,20/12/02,Sedan,Lyon,1,1,D,0,0,D,2.625,2.875,2.5,3.01,3.05,2.45,2.5,3,2.5,2.5,3.25,2.38,2.625,3,2.5,2.62,2.9,2.5,1.9,1.94,,,
F1,20/12/02,Sochaux,Lens,3,0,H,0,0,D,1.909,3,3.75,2.17,3.1,3.46,2.2,2.8,3.1,2,3,3.4,1.85,3.1,4,2,3,3.4,2.15,1.52,,,
F1,20/12/02,Strasbourg,Nice,0,0,D,0,0,D,2.25,3,2.875,2.34,2.97,3.1,2.1,2.8,3.3,2.1,3,3.2,2.25,2.875,3.1,2.2,3,3,1.96,1.83,,,
F1,20/12/02,Troyes,Stade Rennes,0,1,A,0,0,D,2.25,3,2.875,2.3,3.05,3.15,2.1,2.8,3.3,2.38,3,2.75,2.25,2.875,3.1,2.2,3,3,2,1.74,,,
F1,10/01/03,Lyon,Marseille,1,0,H,1,0,H,1.909,3,3.75,1.95,3.1,3.75,1.85,3,3.8,1.9,3.2,3.5,2,3,3.6,1.9,3.1,3.6,1.8,1.81,,,
F1,11/01/03,AC Ajaccio,Paris Saint-Germain,0,0,D,0,0,D,2.5,3.1,2.5,2.75,3.05,2.45,2.9,3,2.2,2.62,2.87,2.5,2.7,3.1,2.375,2.62,2.9,2.5,1.95,1.65,,,
F1,11/01/03,AJ Auxerre,Troyes,1,0,H,1,0,H,1.571,3.25,5.5,1.6,3.25,5.85,1.6,3.3,4.8,1.44,3.6,6.5,1.571,3.25,6,1.57,3.3,5.5,1.9,1.7,,,
F1,11/01/03,Bordeaux,Montpellier,3,1,H,1,1,D,1.615,3.25,5,1.6,3.4,5.5,1.55,3.4,5,1.5,3.4,6,1.571,3.25,6,,,,1.9,1.7,,,
F1,11/01/03,AS Monaco,Bastia,0,0,D,0,0,D,1.571,3.25,5.5,1.55,3.4,6.1,1.55,3.4,5,1.5,3.6,5.5,1.571,3.25,6,1.57,3.3,5.5,1.8,1.8,,,
F1,11/01/03,Nice,Lille,2,0,H,0,0,D,1.909,3,3.75,1.9,3.15,3.85,2,2.9,3.4,1.8,3.2,4,1.8,3.2,4,1.9,3.1,3.6,1.95,1.65,,,
F1,11/01/03,Stade Rennes,Guingamp,2,1,H,1,0,H,2.3,3,2.8,2.3,3.05,2.95,2.2,2.9,3,2.37,3.2,2.6,2.375,3,2.75,2.3,3,2.8,1.95,1.65,,,
F1,14/01/03,Marseille,Stade Rennes,2,0,H,2,0,H,1.727,3.2,4.333,1.65,3.3,4.95,1.7,3.2,4.2,1.67,3.25,4.5,1.615,3.25,5,1.66,3.3,4.5,1.9,1.7,,,
F1,15/01/03,Bastia,Lyon,2,0,H,0,0,D,2.5,3.1,2.5,2.6,3.05,2.5,2.5,3,2.5,2.4,3.25,2.5,2.6,3,2.5,2.5,2.9,2.62,1.9,1.7,,,
F1,15/01/03,Guingamp,AJ Auxerre,0,2,A,0,1,A,2.25,2.875,3,2.2,2.95,3.15,2.3,2.9,2.8,2.25,3.2,2.75,2.2,3.1,3,2.2,3.1,2.87,1.95,1.65,,,
F1,15/01/03,Montpellier,Nice,2,2,D,2,1,H,2.625,2.875,2.5,2.55,3,2.55,2.6,2.8,2.6,2.62,2.88,2.5,2.75,3,2.375,2.62,2.9,2.5,2.05,1.6,,,
F1,15/01/03,Paris Saint-Germain,Le Havre AC,1,0,H,1,0,H,1.571,3.25,5.5,1.55,3.3,5.85,1.55,3.3,5.2,1.57,3.25,5.5,1.571,3.25,6,1.57,3.3,5.5,1.85,1.75,,,
F1,15/01/03,Sedan,AC Ajaccio,1,1,D,1,1,D,1.8,3.1,4,1.75,3.1,4.6,1.65,3.3,4.4,1.8,3.2,4,1.8,3.1,4.2,1.66,3.1,5,1.95,1.65,,,
F1,15/01/03,Sochaux,AS Monaco,0,0,D,0,0,D,2,3,3.4,2.05,2.95,3.5,2.1,2.9,3.2,2.1,3.2,3,2.1,3,3.25,2,3,3.4,,,,,
F1,18/01/03,Le Havre AC,Strasbourg,1,1,D,0,1,A,2.25,3,2.875,2.2,3,3.15,2.2,2.9,3,,,,2.2,3,3.1,2.1,3,3.2,1.95,1.65,,,
F1,18/01/03,Lens,Sedan,4,0,H,3,0,H,1.727,3.2,4.333,1.7,3.2,4.9,1.75,3.1,4.2,,,,1.727,3.2,4.5,1.72,3.2,4.33,2.05,1.6,,,
F1,18/01/03,Montpellier,AJ Auxerre,0,0,D,0,0,D,2.7,3,2.4,2.85,3.05,2.35,2.8,2.8,2.4,,,,2.875,3,2.3,2.9,2.9,2.3,1.95,1.65,,,
F1,22/01/03,AC Ajaccio,Troyes,1,0,H,1,0,H,1.9,3,3.75,1.91,3.1,3.8,2.1,2.8,3.3,1.91,3,3.75,1.85,3.1,4,1.9,3.1,3.6,2.05,1.6,,,
F1,21/01/03,AJ Auxerre,Marseille,0,0,D,0,0,D,1.8,3,4.33,1.83,3.25,4,1.9,2.9,3.8,1.91,3.2,3.5,1.91,3.1,3.75,1.8,3.1,4,2.2,1.55,,,
F1,22/01/03,Bordeaux,Guingamp,4,2,H,2,0,H,1.83,3,4,1.8,3.1,4.35,1.7,3.1,4.4,1.91,3.2,3.5,1.85,3.1,4,1.8,3.1,4,1.85,1.75,,,
F1,22/01/03,Le Havre AC,Montpellier,1,0,H,0,0,D,1.9,3,3.75,1.9,3.1,3.9,2,2.9,3.4,2,3,3.4,1.91,3.1,3.75,1.8,3.1,4,2.1,1.57,,,
F1,22/01/03,Lille,Strasbourg,0,1,A,0,0,D,1.8,3.1,4,1.8,3.2,4.2,1.85,2.9,4,1.8,3.2,4,1.85,3.1,4,1.72,3.2,4.33,1.92,1.67,,,
F1,22/01/03,Lyon,Sochaux,4,1,H,3,0,H,1.61,3.25,5,1.65,3.3,5.1,1.6,3.2,5,1.62,3.25,5,1.62,3.25,5.25,1.61,3.3,5,1.9,1.7,,,
F1,22/01/03,AS Monaco,Lens,1,1,D,0,1,A,1.8,3,4.5,1.8,3.1,4.35,1.8,2.9,4.2,1.8,3.2,4,1.75,3.2,4.33,1.8,3.1,4,1.95,1.65,,,
F1,22/01/03,Nantes,Sedan,4,1,H,0,0,D,1.66,3.1,5,1.7,3.3,4.65,1.75,3.1,4.2,1.73,3.2,4.33,1.73,3.2,4.5,1.66,3.3,4.5,1.9,1.7,,,
F1,22/01/03,Nice,Paris Saint-Germain,0,0,D,0,0,D,2.1,3,3.2,2.15,3.05,3.15,2.3,2.8,2.9,2.1,3,3.2,2.1,3,3.25,2.1,3,3.2,2.1,1.57,,,
F1,22/01/03,Stade Rennes,Bastia,0,1,A,0,0,D,1.72,3.2,4.33,1.7,3.3,4.65,1.8,2.9,4.2,1.83,3.4,3.5,1.83,3.1,4,1.66,3.3,4.5,1.95,1.65,,,
F1,28/01/03,Marseille,Nice,2,0,H,1,0,H,1.833,3,4,1.85,3.1,4.2,1.8,3,4,1.91,3,3.75,1.85,3.1,4,1.72,3.1,4.5,1.95,1.65,,,
F1,29/01/03,Bastia,AJ Auxerre,2,0,H,0,0,D,2.375,2.875,2.8,2.4,3.1,2.75,2.4,2.9,2.7,2.4,3.25,2.5,2.375,3,2.8,2.25,3,2.87,1.9,1.7,,,
F1,29/01/03,Guingamp,Le Havre AC,1,2,A,0,0,D,1.727,3.1,4.5,1.7,3.1,5.15,1.8,3,4,1.72,3.2,4.33,1.727,3.2,4.5,1.66,3.1,5,2.05,1.6,,,
F1,29/01/03,Lens,Lyon,2,2,D,2,2,D,2.4,2.875,2.8,2.35,3.05,2.85,2.3,2.9,2.8,2.37,3,2.75,2.3,3.1,2.8,2.3,3,2.8,1.9,1.7,,,
F1,29/01/03,Montpellier,AC Ajaccio,0,1,A,0,0,D,2,3,3.4,2,3.05,3.6,2.1,2.6,3.6,2,3,3.4,2,3,3.6,1.9,3,3.75,1.95,1.65,,,
F1,29/01/03,Nantes,AS Monaco,0,2,A,0,1,A,2.1,3,3.2,2.15,3,3.3,2.2,2.8,3.1,2.1,3.2,3,2.2,3,3.1,2,2.87,3.6,1.85,1.75,,,
F1,29/01/03,Paris Saint-Germain,Lille,1,0,H,0,0,D,1.727,3.1,4.5,1.7,3.1,5.15,1.7,3.1,4.4,1.61,3.25,5,1.615,3.2,5.5,1.72,2.9,5,1.9,1.7,,,
F1,29/01/03,Sedan,Strasbourg,2,1,H,2,0,H,2.2,3,3,2.15,3,3.3,2,3,3.3,2.1,3.2,3,2.2,3,3.1,2.1,3,3.2,2.05,1.6,,,
F1,29/01/03,Sochaux,Stade Rennes,1,0,H,1,0,H,1.727,3.1,4.5,1.75,3.1,4.75,1.7,3.1,4.4,1.73,3.4,4,1.667,3.2,5,1.72,3.1,4.5,1.95,1.65,,,
F1,29/01/03,Troyes,Bordeaux,0,1,A,0,1,A,2.625,2.875,2.5,2.65,3,2.55,2.9,2.8,2.3,2.75,3.2,2.25,2.6,3,2.5,2.62,2.9,2.5,2.05,1.6,,,
F1,01/02/03,AC Ajaccio,Bastia,1,1,D,1,0,H,2.25,2.87,3,2.25,2.95,3.15,2.2,2.8,3.1,2.37,3,2.75,2.25,2.88,3.1,2.25,3,2.87,2.1,1.55,,,
F1,01/02/03,AJ Auxerre,Sochaux,2,0,H,1,0,H,1.72,2.87,5,1.75,3.1,4.75,1.65,3.1,4.8,1.66,3.25,4.5,1.75,3.1,4.5,1.66,3.1,5,2.1,1.55,,,
F1,01/02/03,Le Havre AC,Troyes,1,0,H,0,0,D,1.8,3,4.33,1.8,3.1,4.5,1.85,3,3.8,1.9,3,3.75,1.75,3.1,4.5,1.83,3,4,2.1,1.55,,,
F1,01/02/03,Lyon,Nantes,0,0,D,0,0,D,1.66,3.25,4.5,1.65,3.3,5.15,1.6,3.2,5,1.66,3.25,4.5,1.6,3.25,5.5,1.66,3.1,5,1.8,1.8,,,
F1,01/02/03,AS Monaco,Sedan,3,0,H,2,0,H,1.66,2.87,5.5,1.6,3.35,5.55,1.6,3.2,5,1.61,3.25,5,1.6,3.2,5.5,1.57,3.3,5.5,1.82,1.75,,,
F1,01/02/03,Nice,Guingamp,1,0,H,1,0,H,1.72,3.2,4.33,1.8,3.2,4.25,1.8,3,4,1.83,3.2,3.75,1.75,3.1,4.5,1.83,3.2,3.75,1.82,1.75,,,
F1,01/02/03,Stade Rennes,Lens,1,1,D,1,1,D,2.25,3,2.87,2.3,3,3,2.3,2.8,2.9,2.1,3,3.2,2.25,3,3,2.1,2.87,3.3,1.95,1.65,,,
F1,01/02/03,Strasbourg,Paris Saint-Germain,0,1,A,0,0,D,2.5,2.87,2.62,2.55,3,2.65,2.6,2.8,2.6,2.37,3,2.75,2.5,3,2.6,2.3,2.9,2.9,1.88,1.7,,,
F1,02/02/03,Bordeaux,Marseille,3,1,H,0,0,D,2.2,3,3,2.05,3,3.55,1.9,3,3.6,2,3.2,3.2,2.2,3,3.1,2,3,3.4,1.82,1.75,,,
F1,04/02/03,AS Monaco,Lyon,2,0,H,1,0,H,2.1,3,3.2,2.18,3,3.2,2,3,3.3,2.2,3,3,2.2,3,3.1,2.2,3,3,1.75,1.85,,,
F1,05/02/03,Bastia,Paris Saint-Germain,1,0,H,1,0,H,2.375,3,2.7,2.3,3,3,2.3,2.9,2.8,2.25,3,2.88,2.3,3,2.875,2.25,3,2.87,1.95,1.65,,,
F1,05/02/03,Lens,Bordeaux,3,3,D,3,1,H,2.25,2.9,3,2.18,3,3.2,2.3,2.8,2.9,2.38,3,2.75,2.2,3,3.1,2.1,3,3.2,1.95,1.65,,,
F1,05/02/03,Marseille,Le Havre AC,2,0,H,1,0,H,1.5,3.4,6,1.5,3.55,6.5,1.55,3.3,5.2,1.5,3.4,6,1.5,3.4,6.5,1.5,3.3,6.5,1.9,1.7,,,
F1,05/02/03,Montpellier,Strasbourg,2,1,H,1,0,H,2.4,3,2.7,2.35,2.95,2.95,2.2,2.8,3.1,2.38,3,2.75,2.375,3,2.8,2.37,2.9,2.8,2.05,1.6,,,
F1,05/02/03,Nantes,Stade Rennes,1,0,H,0,0,D,1.727,3.2,4.333,1.75,3.15,4.65,1.7,3.1,4.4,1.73,3.2,4.33,1.727,3.2,4.5,1.72,3.25,4.2,1.95,1.65,,,
F1,05/02/03,Sedan,AJ Auxerre,1,2,A,1,0,H,2.625,2.875,2.5,2.6,2.92,2.65,2.6,2.8,2.6,2.5,3.2,2.5,2.5,3,2.6,2.6,2.8,2.6,1.9,1.7,,,
F1,05/02/03,Troyes,Nice,1,0,H,1,0,H,2.7,3,2.375,2.85,2.9,2.45,2.7,2.9,2.4,2.75,3.2,2.25,2.8,3,2.375,2.62,2.9,2.5,2.05,1.6,,,
F1,08/02/03,AC Ajaccio,Marseille,0,2,A,0,1,A,2.75,2.8,2.5,2.78,3,2.43,2.7,2.8,2.5,2.5,3.2,2.5,2.875,2.875,2.375,2.62,2.9,2.5,2.15,1.55,,,
F1,08/02/03,Bordeaux,Bastia,0,2,A,0,1,A,1.667,3.25,4.5,1.65,3.35,5,1.6,3.2,5,1.5,3.25,6.5,1.667,3.2,5,1.61,3.3,5,2.05,1.6,,,
F1,08/02/03,Le Havre AC,Sedan,2,1,H,1,1,D,1.909,3,3.75,1.95,3.05,3.8,2,2.9,3.4,2,3,3.4,1.909,3,3.8,1.83,3,4,1.9,1.7,,,
